cooperative_id,name,desa,kecamatan,latitude,longitude,potensi,usaha,jenis_koperasi,ruas 100,ruas 200,ruas 300,ruas 400,ruas 500,ruas 600,ruas 700,ruas 800,ruas 900,ruas 1000
57512,KOPERASI KELURAHAN MERAH PUTIH JETIS KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,JETIS,SUKOHARJO,-7.6871204,110.824905,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH JETIS KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58050,KOPERASI KELURAHAN MERAH PUTIH BULAKAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,BULAKAN,SUKOHARJO,-7.67643913,110.7898907,-,"GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH BULAKAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO, GERAI SEMBAKO KOPERASI KELURAHAN MERAH PUTIH BULAKAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO","Kantor Koperasi, Pengadaan Sembako",434.64,1519.96,3701.96,7616.0,11874.16,16697.42,22777.43,29380.08,36140.99,44656.96
61826,KOPERASI KELURAHAN MERAH PUTIH SUKOHARJO KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,SUKOHARJO,SUKOHARJO,-7.67138826,110.8245617,-,"Koperasi Kelurahan Merah Putih Sukoharjo, Gerai Sembako (Embrio KopHub)","Kantor Koperasi, Pengadaan Sembako",759.93,2858.19,4542.68,6634.6,9113.43,11742.34,14796.14,16913.98,19538.99,24435.43
66646,KOPERASI KELURAHAN MERAH PUTIH COMBONGAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,COMBONGAN,SUKOHARJO,-7.68344258,110.8140723,-,GERAI KANTOR KOPERASI KOPERASI KELURAHAN MERAH PUTIH COMBONGAN KECAMATAN SUKOHARJO KABUPATEN SUKOHARJO,Kantor Koperasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32518,KOPERASI DESA MERAH PUTIH CEMANI KECAMATAN GROGOL KABUPATEN SUKOHARJO,CEMANI,GROGOL,-7.58244528,110.8057663,-,GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH CEMANI KECAMATAN GROGOL KABUPATEN SUKOHARJO,Kantor Koperasi,872.76,3669.66,8037.38,13646.36,20274.21,28726.16,38774.85,50713.34,62976.33,78030.45
36810,KOPERASI DESA MERAH PUTIH LANGENHARJO KECAMATAN GROGOL KABUPATEN SUKOHARJO,LANGENHARJO,GROGOL,-7.61261159,110.8107079,"Padi, Sapi, Kambing",-,Pengadaan Sembako,199.76,2077.67,4943.81,9583.03,16138.31,23861.76,32551.95,43427.5,55348.84,69713.52
38321,KOPERASI DESA MERAH PUTIH BANARAN KECAMATAN GROGOL KABUPATEN SUKOHARJO,BANARAN,GROGOL,-7.57719605,110.7942842,Padi,"GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH BANARAN KECAMATAN GROGOL KABUPATEN SUKOHARJO, GERAI SEMBAKO KOPERASI DESA MERAH PUTIH BANARAN KECAMATAN GROGOL KABUPATEN SUKOHARJO","Pengadaan Sembako, Kantor Koperasi",359.67,912.58,3302.51,6494.49,11375.79,17503.11,26357.97,38256.05,51140.72,66674.02
47164,KOPERASI DESA MERAH PUTIH PONDOK KECAMATAN GROGOL KABUPATEN SUKOHARJO,PONDOK,GROGOL,-7.6220637,110.7970056,"Pertanian Padi, Umkm Makanan Siap Saji, Pembuatan Batu Bata Batu Merah, Jagung Pakan, Umkm Pembuatan Tempe, Pengrajin, Pabrik Pembuatan Roti, Konveksi",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH PONDOK KECAMATAN GROGOL KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",600.23,2499.91,5872.66,8695.39,12010.1,17045.12,23865.89,31390.79,38312.8,44601.11
47221,KOPERASI DESA MERAH PUTIH PARANGJORO KECAMATAN GROGOL KABUPATEN SUKOHARJO,PARANGJORO,GROGOL,-7.6365314,110.8067035,"Pisang, Melon",Gerai Koperasi Desa Merah Putih Parangjoro,"Pengadaan Sembako, Kantor Koperasi",423.85,1307.54,3298.95,5795.55,8843.56,12715.34,16917.72,21331.35,27023.69,34253.19
47269,KOPERASI DESA MERAH PUTIH PANDEYAN KECAMATAN GROGOL KABUPATEN SUKOHARJO,PANDEYAN,GROGOL,-7.63228,110.837331,"Kebun Jagung, Peternakan Sapi, Perikanan, Pedagang Umkm, Padi","KIOS PANGAN MURAH KOPERASI DESA MERAH PUTIH PANDEYAN KECAMATAN GROGOL KABUPATEN SUKOHARJO, Koperasi desa merah putih pandeyan","Pengadaan Sembako, Kantor Koperasi",756.7,2147.6,5010.36,8510.94,12901.05,19255.7,26539.77,33445.71,40159.77,46995.33
47972,KOPERASI DESA MERAH PUTIH TELUKAN KECAMATAN GROGOL KABUPATEN SUKOHARJO,TELUKAN,GROGOL,-7.62107865,110.8237961,"Sapi, Tanaman Obat, Perikanan, Padi, Kambing","UNIT USAHA LAINNYA KOPERASI DESA MERAH PUTIH TELUKAN KECAMATAN GROGOL KABUPATEN SUKOHARJO, GERAI SEMBAKO KOPERASI DESA MERAH PUTIH TELUKAN KECAMATAN GROGOL KABUPATEN SUKOHARJO, KDMP TELUKAN, GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH TELUKAN KECAMATAN GROGOL KABUPATEN SUKOHARJO, GERAI GAS ELPIJI 3 KG, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH TELUKAN KECAMATAN GROGOL KABUPATEN SUKOHARJO","Pengadaan Sembako, Usaha Simpan Pinjam, Kantor Koperasi",299.18,1742.91,4303.58,7571.29,12743.62,19746.96,28588.63,37424.79,47615.95,59380.96
56628,KOPERASI DESA MERAH PUTIH KADOKAN KECAMATAN GROGOL KABUPATEN SUKOHARJO,KADOKAN,GROGOL,-7.59833659,110.82815167,"Padi, Kambing, Sapi","UNIT USAHA LAINNYA KOPERASI DESA MERAH PUTIH KADOKAN KECAMATAN GROGOL KABUPATEN SUKOHARJO, Kantor Koperasi, Laku Pandai","Pengadaan Sembako, Kantor Koperasi",641.27,1938.48,3308.77,6483.66,11166.51,17379.78,25288.7,36352.08,47461.29,59841.21
56648,KOPERASI DESA MERAH PUTIH KWARASAN KECAMATAN GROGOL KABUPATEN SUKOHARJO,KWARASAN,GROGOL,-7.59320981,110.809563,"Kambing, Padi, Perdagangan","APOTEK KDMP DESA KWARASAN, GERAI KELONTONG, KANTOR KDMP DESA KWARASAN","Pengadaan Sembako, Apotek Desa/Kelurahan, Kantor Koperasi",831.17,2248.2,5415.67,8830.84,12421.09,18333.83,26873.62,40050.87,55609.19,72307.8
56667,KOPERASI DESA MERAH PUTIH SANGGRAHAN KECAMATAN GROGOL KABUPATEN SUKOHARJO,SANGGRAHAN,GROGOL,-7.5910939,110.799413,"Padi, Umkm Pembuatan Tempe",-,Pengadaan Sembako,802.83,4204.57,9180.29,14958.85,21608.97,28444.93,35382.34,42634.63,51962.82,62185.14
56670,KOPERASI DESA MERAH PUTIH MANANG KECAMATAN GROGOL KABUPATEN SUKOHARJO,MANANG,GROGOL,-7.59033611,110.7904083,Padi,GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH MANANG KECAMATAN GROGOL KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",857.75,2209.07,5776.67,10283.36,16313.42,23543.33,31566.7,42486.98,52616.49,65546.96
58002,KOPERASI DESA MERAH PUTIH MADEGONDO KECAMATAN GROGOL KABUPATEN SUKOHARJO,MADEGONDO,GROGOL,-7.60090404,110.8140895,"Sapi, Kambing",Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi",1076.68,4005.5,9496.97,16672.57,25323.94,33889.37,44247.62,56364.53,69129.7,82063.44
58687,KOPERASI DESA MERAH PUTIH GEDANGAN KECAMATAN GROGOL KABUPATEN SUKOHARJO,GEDANGAN,GROGOL,-7.60549058,110.8012698,"Sapi, Kambing, Domba, Ayam, Perikanan",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH GEDANGAN KECAMATAN GROGOL KABUPATEN SUKOHARJO,Kantor Koperasi,819.24,3091.2,6904.3,12108.69,19164.1,26800.76,35396.2,44636.76,53782.27,65239.3
58714,KOPERASI DESA MERAH PUTIH GROGOL KECAMATAN GROGOL KABUPATEN SUKOHARJO,GROGOL,GROGOL,-7.6042816,110.8128074,Ayam,Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi",1352.99,3741.81,8045.0,14382.82,22142.23,32299.57,44806.0,57196.61,70576.79,82644.1
32762,KOPERASI DESA MERAH PUTIH DALEMAN KECAMATAN NGUTER KABUPATEN SUKOHARJO,DALEMAN,NGUTER,-7.72701493,110.8586979,"Padi, Kambing, Ayam, Bebek, Itik",Koperasi Desa Merah Putih Daleman,"Pengadaan Sembako, Kantor Koperasi",481.58,1749.48,4447.85,7867.58,11090.18,14272.68,17300.19,22026.45,27094.32,32474.29
36838,KOPERASI DESA MERAH PUTIH KEPUH KECAMATAN NGUTER KABUPATEN SUKOHARJO,KEPUH,NGUTER,-7.71453939,110.8595946,Padi,Kantor Koperasi Desa Meras Putih,"Pengadaan Sembako, Kantor Koperasi",22.28,1320.63,3649.69,5962.18,8356.33,11627.89,15798.84,21938.95,26339.14,31121.38
36937,KOPERASI DESA MERAH PUTIH LAWU KECAMATAN NGUTER KABUPATEN SUKOHARJO,LAWU,NGUTER,-7.7345414,110.8504325,"Padi, Sapi, Kambing, Perikanan",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH LAWU KECAMATAN NGUTER KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",721.55,2508.46,4812.3,8026.74,12536.49,17269.5,21784.19,26113.63,30846.77,35752.16
37031,KOPERASI DESA MERAH PUTIH PONDOK KECAMATAN NGUTER KABUPATEN SUKOHARJO,PONDOK,NGUTER,-7.71468952,110.8393698,"Padi, Domba, Bebek, Itik, Perikanan",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH PONDOK KECAMATAN NGUTER KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",614.4,2268.92,4408.95,7551.14,11137.44,14504.4,18624.67,23724.16,29261.42,35299.68
38425,KOPERASI DESA MERAH PUTIH CELEP KECAMATAN NGUTER KABUPATEN SUKOHARJO,CELEP,NGUTER,-7.73391904,110.9161775,Padi,KANTOR KOPERASI DESA MERAH PUTIH CELEP KECAMATAN NGUTER KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",528.78,2005.09,3721.79,6187.04,8548.84,11926.02,17161.12,21479.72,25396.16,28059.81
41729,KOPERASI DESA MERAH PUTIH PENGKOL KECAMATAN NGUTER KABUPATEN SUKOHARJO,PENGKOL,NGUTER,-7.74270029,110.9046458,Kambing,Kantor Koperasi Desa Merah Putih Pengkol Kecamatan Nguter Kabupaten Sukoharjo,"Kantor Koperasi, Pengadaan Sembako",383.5,1406.31,2028.38,3630.06,7452.95,11150.87,14871.11,20149.0,26157.14,32736.61
43877,KOPERASI DESA MERAH PUTIH TANJUNG KECAMATAN NGUTER KABUPATEN SUKOHARJO,TANJUNG,NGUTER,-7.7221339,110.8286704,"Ikan Lele, Alpukat, Melon, Kambing, Itik, Sayuran Cabai Tomat Terong Hidroponik, Padi",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH TANJUNG KECAMATAN NGUTER KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",607.51,2010.84,4557.77,7446.37,11527.41,15504.89,19826.09,25029.73,31172.14,39087.52
44790,KOPERASI DESA MERAH PUTIH GUPIT KECAMATAN NGUTER KABUPATEN SUKOHARJO,GUPIT,NGUTER,-7.73988395,110.8903058,Padi,-,Pengadaan Sembako,87.75,1031.48,3188.64,5080.56,8038.55,11839.12,17023.26,22660.92,27813.34,33995.01
50138,KOPERASI DESA MERAH PUTIH BARAN KECAMATAN NGUTER KABUPATEN SUKOHARJO,BARAN,NGUTER,-7.74310292,110.8590439,"Padi, Perikanan",GERAI KANTOR KOPERASI DESA MERAH PUTIH BARAN KECAMATAN NGUTER KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",317.8,1188.26,2245.85,4194.79,6292.87,10068.43,14806.94,18754.63,23016.48,28289.8
52750,KOPERASI DESA MERAH PUTIH JURON KECAMATAN NGUTER KABUPATEN SUKOHARJO,JURON,NGUTER,-7.72361057,110.9304148,Padi,Gerai Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi",4.36,905.56,2238.59,4182.67,6517.54,10422.99,13611.52,16343.89,20767.25,24778.95
52826,KOPERASI DESA MERAH PUTIH NGUTER KECAMATAN NGUTER KABUPATEN SUKOHARJO,NGUTER,NGUTER,-7.74226607,110.873273,"Padi, Kambing, Ayam, Perikanan",Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi",259.94,892.96,2525.77,6391.21,9877.46,13901.15,18157.04,23144.6,28891.21,34747.64
52884,KOPERASI DESA MERAH PUTIH PLESAN KECAMATAN NGUTER KABUPATEN SUKOHARJO,PLESAN,NGUTER,-7.72090826,110.8956272,Padi,"GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH PLESAN KECAMATAN NGUTER KABUPATEN SUKOHARJO, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH PLESAN KECAMATAN NGUTER KABUPATEN SUKOHARJO","Pengadaan Sembako, Usaha Simpan Pinjam, Kantor Koperasi",60.99,1398.73,3075.84,5588.13,7105.36,9890.58,13540.45,17645.92,20654.36,24383.63
52949,KOPERASI DESA MERAH PUTIH KEDUNGWINONG KECAMATAN NGUTER KABUPATEN SUKOHARJO,KEDUNGWINONG,NGUTER,-7.72337642,110.8766394,"Padi, Jagung, Tomat, Pisang, Mangga, Alpukat, Melon, Bebek, Itik",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KEDUNGWINONG KECAMATAN NGUTER KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",804.23,2961.96,5437.23,9202.0,12819.35,16258.49,21134.55,25818.95,29000.04,33126.94
56622,KOPERASI DESA MERAH PUTIH TANJUNGREJO KECAMATAN NGUTER KABUPATEN SUKOHARJO,TANJUNGREJO,NGUTER,-7.76556664,110.9323394,Perikanan,KANTOR KOPERASI DESA MERAH PUTIH TANJUNGREJO KECAMATAN NGUTER KABUPATEN SUKOHARJO,Kantor Koperasi,285.26,958.62,1692.83,3874.22,6140.04,7926.11,10487.58,13797.42,17943.11,23252.31
56645,KOPERASI DESA MERAH PUTIH SERUT KECAMATAN NGUTER KABUPATEN SUKOHARJO,SERUT,NGUTER,-7.73890569,110.9329146,Padi,Kantor Koperasi Desa Merah Putih Serut Kecamatan Nguter Kabupaten Sukoharjo,"Pengadaan Sembako, Kantor Koperasi",403.76,1461.15,3155.33,4728.94,6797.6,8664.72,12660.68,17930.49,22260.59,27142.99
56672,KOPERASI DESA MERAH PUTIH JANGGLENGAN KECAMATAN NGUTER KABUPATEN SUKOHARJO,JANGGLENGAN,NGUTER,-7.75343957,110.9219798,"Padi, Jagung, Cabai",KANTOR KOPERASI KOPERASI DESA MERAH PUTIH JANGGLENGAN KECAMATAN NGUTER KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",0.0,0.0,910.72,2539.85,4913.83,7292.17,10702.93,13537.49,17294.76,22387.92
36906,KOPERASI KELURAHAN MERAH PUTIH JOMBOR KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,JOMBOR,BENDOSARI,-7.66871375,110.8402071,Sarana Olahraga,Kantor Koperasi Kelurahan Merah Putih Jombor,Kantor Koperasi,686.49,3168.68,7718.96,14397.04,21606.45,28837.36,36307.2,44913.64,53254.36,62651.39
48639,KOPERASI DESA MERAH PUTIH MOJOREJO KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,MOJOREJO,BENDOSARI,-7.701195,110.916573,Padi,Kantor Koperasi Desa Merah Putih Mojorejo,"Pengadaan Sembako, Kantor Koperasi",485.26,1679.85,3144.26,4929.32,6656.57,8995.04,13566.85,17574.78,21258.26,25503.39
49499,KOPERASI DESA MERAH PUTIH SUGIHAN KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,SUGIHAN,BENDOSARI,-7.67249032,110.8668773,"Padi, Kambing",Kantor KDMP Sugihan,"Pengadaan Sembako, Kantor Koperasi",193.5,576.75,1842.14,2748.71,3820.43,7423.82,12342.26,16722.54,21406.51,27582.56
50292,KOPERASI DESA MERAH PUTIH MERTAN KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,MERTAN,BENDOSARI,-7.6864136,110.8932085,"Padi, Jagung",Kantor Koperasi Desa Merah Putih Mertan,"Pengadaan Sembako, Kantor Koperasi",341.53,782.81,2003.56,4604.74,6938.96,9365.74,12660.26,17800.87,21783.85,25361.43
55399,KOPERASI DESA MERAH PUTIH GENTAN KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,GENTAN,BENDOSARI,-7.655628,110.855268,"Padi, Jagung, Kedelai, Ubi Kayu, Ubi Jalar, Kacang Tanah, Kacang Hijau, Cabai, Bawang, Tomat, Pisang, Mangga, Alpukat, Melon, Tanaman Obat, Sapi, Kerbau, Kambing, Ayam, Bebek, Itik, Perikanan",Kantor Koperasi Desa Merah Putih Gentan Kecamatan Bendosari Kabupaten Sukoharjo,"Pengadaan Sembako, Kantor Koperasi",408.21,1670.16,3830.44,7647.11,11344.77,14686.82,17998.25,21530.6,26274.99,33615.51
58658,KOPERASI DESA MERAH PUTIH SIDOREJO KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,SIDOREJO,BENDOSARI,-7.65823375,110.8440503,"Padi, Kambing, Itik",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH SIDOREJO KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",645.81,1718.7,3104.35,5398.57,7411.05,9176.7,12821.95,16988.26,23358.07,32890.55
63262,KOPERASI DESA MERAH PUTIH TORIYO KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,TORIYO,BENDOSARI,-7.67896133,110.8574033,"Padi, Ubi Jalar, Perikanan",Kantor Koperasi Desa Merah Putih Toriyo Kecamatan Bendosari Kabupaten Sukoharjo,"Pengadaan Sembako, Kantor Koperasi",942.33,2900.04,5495.74,8611.94,12201.29,14730.01,18353.85,22327.9,27670.1,33372.65
65294,KOPERASI DESA MERAH PUTIH PUHGOGOR KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,PUHGOGOR,BENDOSARI,-7.702989,110.936871,Padi,Koperasi Desa Merah Putih Puhgogor,"Pengadaan Sembako, Kantor Koperasi",336.46,1049.23,2351.05,3769.32,5885.44,7808.61,9690.59,11877.64,15086.2,19689.58
65371,KOPERASI DESA MERAH PUTIH MULUR KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,MULUR,BENDOSARI,-7.6962647,110.8746698,"Padi, Ayam, Bimbingan Belajar Les Privat, Ikan Nila Bawal Lele Gurame Dan Mujair, Peternakan Sapi, Aneka Buah Buahan, Wisata Rekreasi Air, Sayur Sayuran, Umkm Lokal, Peternakan Kambing","GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH MULUR KECAMATAN BENDOSARI KABUPATEN SUKOHARJO, GERAI SEMBAKO KOPERASI DESA MERAH PUTIH MULUR KECAMATAN BENDOSARI KABUPATEN SUKOHARJO, KIOS PUPUK","Pengadaan Sembako, Kantor Koperasi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65373,KOPERASI DESA MERAH PUTIH JAGAN KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,JAGAN,BENDOSARI,-7.70631764,110.8834653,"Padi, Jagung, Kacang Tanah, Sapi, Kambing, Ayam, Bebek",kantor kopersi,"Pengadaan Sembako, Kantor Koperasi",0.0,461.43,1368.98,2177.18,3196.09,4795.1,6877.1,9664.55,12989.08,18705.48
65380,KOPERASI DESA MERAH PUTIH MANISHARJO KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,MANISHARJO,BENDOSARI,-7.71195089,110.9104923,Padi,Kantor Koperasi Desa Merah Putih Manisharjo,"Pengadaan Sembako, Kantor Koperasi",23.33,495.3,1179.68,2223.33,4367.25,6773.54,10459.52,14180.71,17969.11,21270.89
65381,KOPERASI DESA MERAH PUTIH CABEYAN KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,CABEYAN,BENDOSARI,-7.7125952,110.9338467,"Padi, Jagung, Kedelai, Ubi Kayu, Ubi Jalar, Kacang Tanah, Kacang Hijau, Cabai, Bawang, Tomat, Pisang, Mangga, Alpukat, Melon, Tanaman Obat, Sapi, Kambing, Ayam, Bebek, Itik, Perikanan",KDMP CABEYAN,Pengadaan Sembako,114.67,454.28,1797.79,3787.34,5878.56,7519.21,9519.53,12347.43,17988.28,25607.18
69987,KOPERASI DESA MERAH PUTIH PALUHOMBO KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,PALUHOMBO,BENDOSARI,-7.68854226,110.9397204,"Jagung, Ayam",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH PALUHOMBO KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi",692.54,1974.83,3931.89,5714.89,8058.9,10457.97,12646.24,14999.65,17258.15,19843.49
70912,KOPERASI DESA MERAH PUTIH BENDOSARI KECAMATAN BENDOSARI KABUPATEN SUKOHARJO,BENDOSARI,BENDOSARI,-7.681102,110.92712,"Padi, Jagung, Sapi",-,Pengadaan Sembako,531.13,1785.03,3013.79,3875.49,4663.98,5431.38,7259.56,8509.29,11532.05,14193.98
41703,KOPERASI DESA MERAH PUTIH KERTONATAN KECAMATAN KARTASURA KABUPATEN SUKOHARJO,KERTONATAN,KARTASURA,-7.54730203,110.7206937,"Perikanan, Padi, Jagung, Ubi Kayu, Ubi Jalar, Kacang Tanah, Cabai, Bawang, Tomat, Pisang, Mangga, Tanaman Obat, Kambing, Domba, Ayam, Bebek, Itik","GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH KERTONATAN KECAMATAN KARTASURA KABUPATEN SUKOHARJO, Kantor Koperasi, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KERTONATAN KECAMATAN KARTASURA KABUPATEN SUKOHARJO","Pengadaan Sembako, Usaha Simpan Pinjam, Kantor Koperasi",682.29,2476.2,4640.12,8747.17,12486.03,18914.9,24971.78,31603.81,39061.38,46102.94
